MAE,RMSE,R2,method,scenario,seed,cov_mu,cov_sd,tgt_mu,tgt_sd,tgt_eps_mu,tgt_eps_sd,tgt_add_const,stretch,miss,Ns
0.36331965546501876,0.45504167699407316,0.9992538413322701,MB-GIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,
0.4985955049710627,0.6317565195648684,0.998561770135057,MB-VIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,
0.32265463634127994,0.41882016204218736,0.999364095175085,MB-GIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,
0.4199429844680037,0.5931904001120875,0.9987243686403071,MB-VIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,
0.35717160003097986,0.4452189096703628,0.9993236981177352,MB-GIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,,,
0.5225337612866313,0.6432871695862018,0.9985881024924075,MB-VIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,,,
0.5072030904148803,0.6006679132928063,0.9984793466919845,MB-GIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,,,
0.7626759471508155,0.9205107913011653,0.9964287593785499,MB-VIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,,,
0.2946119624547622,0.36459946053206355,0.9995681181119809,MB-GIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,,,
0.4007076296802192,0.48152794543183164,0.9992466861699784,MB-VIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,,,
0.9553453336876129,1.0300472747984757,0.9969699476087538,MB-GIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,,,
1.6800597938492943,1.763794456769932,0.9911155250001711,MB-VIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,,,
0.3053012208278751,0.3875296696370667,0.9994491630694615,MB-GIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,,,
0.37086891940941835,0.48210629776791497,0.9991474914510267,MB-VIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,,,
0.42165459505578823,0.502738682665049,0.9988744117263211,MB-GIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,,,
0.6408548012351709,0.74093251549367,0.9975551497545997,MB-VIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,,,
0.3685197310881203,0.453377040024194,0.9992320833695808,MB-GIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,,,
0.5271609149729772,0.6622061046624951,0.9983617454319159,MB-VIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,,,
0.5645262066699187,0.6971420150269069,0.9980060869561863,MB-GIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,,,
1.075099848340919,1.253455532833946,0.9935541296939626,MB-VIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,,,
0.3618807611377048,0.4466117374676975,0.9992621123397067,MB-GIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,,,
0.5016697262651192,0.6625991762335692,0.9983758289481648,MB-VIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,,,
0.6026300306435467,0.7002086683676284,0.9978579954881321,MB-GIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,,,
1.39566483004671,1.6081665630561064,0.9887013261711185,MB-VIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,,,
0.38654320634856326,0.4713418210352614,0.9992746704672032,MB-GIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,,,
0.49987437496249554,0.6124606933595336,0.998775327817396,MB-VIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,,,
0.5752198051243649,0.6958062359695328,0.997971095133891,MB-GIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,,,
0.8168038255933625,1.0015906777680879,0.9957959720197104,MB-VIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,,,
0.28733140679840763,0.3519176404310526,0.9995335530632854,MB-GIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,,,
0.37792561802559743,0.4612694441696064,0.9991986365243354,MB-VIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,,,
0.5328273434287092,0.669056837146017,0.9984558872897137,MB-GIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,,,
0.9068786488493125,1.1348844152642144,0.9955572053950422,MB-VIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,,,
0.32668154406464295,0.41543173437777675,0.9993690509491805,MB-GIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,3.0,6.0,,,
0.45417285992414363,0.5733745367337413,0.9987980905264228,MB-VIB,Covariate,0,0.0,1.0,0.0,1.0,0.0,3.0,6.0,,,
0.7718197810918405,0.901299155865046,0.9965246606029116,MB-GIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,3.0,6.0,,,
1.5308848976627913,1.7232296032933594,0.9872958507142153,MB-VIB,Target(gen),0,0.0,1.0,0.0,1.0,0.0,3.0,6.0,,,
0.33065927553749447,0.40945777509978243,0.9993270666093758,MB-GIB,Covariate,0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,,,
